nombre,apodo,profesion,categoria
gabriela bussenius,N/A,escritora;directora de cine;dramaturga;guionista;editora,literatura
oscar bustamante,N/A,escritor pintor arquitecto,literatura
alfonso sergio calderon squadritto,N/A,escritor;ensayista;critico,literatura
juan cameron zamorano,N/A,escritor;poeta,literatura
antonio campana,N/A,poeta;ensayista.,literatura
enrique arturo campos menendez,N/A,escritor;economista;diplomatico;politico,politica
rolando cardenas,N/A,escritor;poeta,literatura
ernesto carmona ulloa,N/A,escritor;periodista,literatura
german carrasco,N/A,escritor;traductor;poeta,literatura
alberto carrizo olivares,N/A,escritor,literatura
pablo cassi,N/A,escritor;periodista,literatura
leopoldo castedo hernandez de padilla,N/A,historiador;academico,ciencia
jose luis hernan castellano giron,N/A,quimico farmaceutico;escritor;ilustrador,literatura
andres leonardo castillo aguilera,N/A,ingeniero civil industrial;empresario;escritor,literatura
miguel angel castillo didier,N/A,musicologo;catedratico;editor;escritor;ensayista;traductor;biografo;organista;linguista;filologo;helenista,literatura
isaac florencio baltazar castro palma,N/A,politico;escritor,politica
juan modesto castro,N/A,escritor,literatura
oscar castro,N/A,escritor;poeta;bibliotecario;novelista,literatura
eloy caviedes,N/A,periodista;escritor,literatura
jose luis cea,N/A,juez;abogado;escritor,literatura
carlos celis atria,N/A,historiador,N/A
jacinto chacon,N/A,abogado,N/A
santos chavez,N/A,disenador grafico;pintor;escritor;grabador,literatura
benedicto chuaqui,N/A,escritor,literatura
clamton,clamtonclamton clementekam kamqlamton,ilustrador;dibujante;dibujante de comics;pintor;ensayista;escritor;poeta,literatura
francisco coloane cardenas,N/A,escritor,literatura
malaquias concha,N/A,politico;escritor,politica
manuel concha,N/A,periodista;escritor,literatura
luis felipe contardo,N/A,sacerdote catolico;escritor;poeta,literatura
oscar alejandro contardo soto,N/A,periodista;critico literario;escritor,literatura
gonzalo contreras fuentes,N/A,escritor,literatura
jose angel cuevas,N/A,escritor;profesor,literatura
eduardo de geyter,N/A,medico;poeta;escritor,literatura
nicolas de la cruz;bahamonde,N/A,militar;escritor,literatura
maria de la luz uribe,N/A,escritora;compositora,literatura
marco antonio de la parra,N/A,dramaturgo;novelista;ensayista;psiquiatra,literatura
daniel de la vega uribe,N/A,periodista;escritor;poeta;novelista;escritor de cuentos,literatura
enrique delano falcon,N/A,escritor;traductor;editor;novelista;escritor de cuentos,literatura
hernan diaz arrieta,alone,critico literario;escritor,literatura
humberto diaz casanueva,N/A,escritor;diplomatico;poeta,literatura
danilo marcelo diaz nunez,el tenor del pueblo,periodista;escritor,literatura
victor hugo diaz riquelme,N/A,poeta,literatura
vladimiro ariel dorfman zelicovich,N/A,escritor;dramaturgo;ensayista;novelista;poeta;profesor,literatura
luis durand,N/A,periodista;escritor,literatura
gonzalo eltesch,N/A,escritor,literatura
juan emar,juan emar,escritor;pintor;critico de arte;novelista;escritor de cuentos,literatura
paula escobar chavarria,N/A,editora;columnista;ensayista;profesora,ciencia
juan luis espejo tapia,N/A,historiador;ingeniero agronomo;tasador,N/A
jaime miguel eyzaguirre gutierrez,N/A,historiador;profesor universitario;abogado;biografo,ciencia
alicia fenieux campos,N/A,periodista;autora,periodismo
patricio herman fernandez chadwick,N/A,periodista;analista politico;escritor,politica
marcello vittorio ferrada de noli,N/A,academico;escritor,literatura
jose luis flores letelier,N/A,escritor,literatura
francisco aboitiz,N/A,investigador,ciencia
alberto gamboa soto,gato gamboa,periodista;escritor;editor;pedagogo,literatura
narciso garcia barria,N/A,escritor;artesano;editor;profesor,literatura
fernando garcia oldini,N/A,abogado;politico,politica
walter garib,dionisio albarran,escritor,literatura
edgardo garrido,N/A,escritor,literatura
antonio gregorio gil iniguez,N/A,escritor;periodista;publicista,literatura
pedro godoy perrin,N/A,profesor;escritor,literatura
alejandro eduardo goic jerez,N/A,actor,entretenimiento
hugo goldsack blanco,N/A,periodista;escritor,literatura
alfredo gomez morel,N/A,escritor,literatura
galo gomez,N/A,periodista;escritor,literatura
jaime miguel gomez rogers,jonas,escritor;profesor;periodista,literatura
sergio gomez escritor,N/A,escritor;editor,literatura
alonso de gongora marmolejo,N/A,historiador;escritor;militar;soldado,literatura
eugenio gonzalez rojas,N/A,politico;escritor;profesor de filosofia.,politica
hector gonzalez valenzuela,N/A,periodista;escritor,literatura
jose santos gonzalez vera,N/A,escritor,literatura
yanko gonzalez,N/A,poeta;antropologo,literatura
escilda greve,N/A,escritora;poeta;novelista,literatura
rafael andres gumucio araya,N/A,escritor,literatura
nana gutierrez,N/A,escritora;poeta,literatura
oscar nicomedes vasquez guzman,N/A,escritor;poeta,literatura
sascha hannig nunez,N/A,escritora;investigadora;analista politico;periodista,politica
friedrich hanssen,N/A,germanista;linguista;profesor universitario;escritor,literatura
luis alberto heiremans despouy,N/A,dramaturgo,literatura
climaco hermosilla silva,N/A,profesor de frances;escritor,literatura
hugo eduardo herrera arellano,N/A,escritor;filosofo;columnista,literatura
pablo hiriart le bert,N/A,periodista;escritor,literatura
manuel eduardo hubner richardson,N/A,diplomatico;escritor;periodista,literatura
pedro humire,N/A,poeta;escritor;profesor;artesano;musico,entretenimiento
antonio huneeus gana,N/A,politico;abogado,politica
pablo miguel huneeus cox,N/A,periodista;sociologo;escritor;profesor,literatura
jose miguel ibanez langlois,ignacio valente,critico literario;poeta;sacerdote catolico;periodista;teologo;filosofo,literatura
jorge ibanez vergara,N/A,historiador;escritor;politico,politica
sergio infante,N/A,escritor;profesor universitario,literatura
jorge inostrosa cuevas,N/A,escritor;periodista;guionista;biografo,literatura
max jara,N/A,escritor,literatura
ramon angel jara,N/A,abogado;sacerdote,N/A
alfredo jocelynholt letelier,N/A,historiador;academico;investigador;escritor,literatura
jose onofre pizarro caravantes,N/A,escritor;personaje callejero,literatura
diego jourdan pereira,N/A,autor escritor;traductor;crucigramista;ilustrador;colorista;historietista,literatura
axel kaiser katherine barentsvon hohenhagen,N/A,abogado;escritor;columnista;profesor universitario;activista politico,politica
eduardo labarca goddard,N/A,periodista;escritor;abogado;novelista;escritor de cuentos,literatura
carlos labbe,N/A,escritor;musico;editor,entretenimiento
miguel laborde,N/A,escritor,literatura
fernando lamberg,N/A,escritor;poeta,literatura
luis omar lara mendoza,N/A,poeta;traductor;editor,literatura
jose victorino lastarria,N/A,abogado;escritor;diplomatico;politico,politica
pedro lastra salazar,N/A,escritor;poeta;critico literario;profesor universitario,literatura
mariano lautaro latorre court,N/A,escritor,literatura
jaime lavados,N/A,medico cirujano;neurologo;astronomo;licenciado en filosofia.,N/A
ramon arminio laval alvial,N/A,escritor,literatura
hernan lavin cerda,N/A,escritor,literatura
alejo enrique rios orellana,alejandro lavquen,escritor,literatura
olegario lazo baeza,N/A,militar;escritor,literatura
norbert lechner,N/A,investigador;politologo;abogado.,ciencia
gonzalo leiva quijada,N/A,historiador;filosofo;escritor;academico;pedagogo;escritor de no ficcion,literatura
rudolf lenz danziger,N/A,romanista;linguista;profesor universitario;escritor;filologo;folclorista,literatura
carlos leon alvarado,N/A,escritor;abogado,literatura
marcelo enrique leonart tomas,N/A,escritor;cineasta;director teatral,literatura
ambrosio letelier salamanca,N/A,oficial de ejercito,N/A
enrique lihn carrasco,N/A,poeta;escritor;ensayista;dramaturgo;novelista;critico literario;dibujante,literatura
marcelo lillo espinoza,N/A,escritor,literatura
samuel lillo,N/A,abogado;profesor;escritor;poeta,literatura
alejandro lipschutz,N/A,antropologo;biologo;escritor,literatura
pedro lira urquieta,N/A,abogado;escritor,literatura
eduardo llanos melussa,N/A,poeta,literatura
gonzalo lopez pardo,N/A,escritor,literatura
hilda lopez aguilar,N/A,fotografa;investigadora;escritora,literatura
miguel de loyola,N/A,escritor,literatura
pablo mackenna dorr,N/A,presentador de television;escritor,entretenimiento
gonzalo maier,N/A,escritor;academico,literatura
rafael maluenda,N/A,periodista;escritor,literatura
sebastian mancilla olivaresvalenzuela,N/A,actor;escritor;actor de television,entretenimiento
ivan patricio eugenio manns de folliot,N/A,cantautor;compositor;escritor;poeta;periodista,literatura
manuel manquilef,N/A,escritor;profesor;politico,politica
diego maquieira,N/A,poeta;escritor;artista plastico,literatura
ruperto marchant pereira,N/A,poeta;sacerdote,literatura
german marin,venzano torres,escritor;periodista,literatura
gustavo marin,N/A,economista;escritor;sociologo;profesor universitario,literatura
juan marino cabello,N/A,escritor;guionista;compositor;director de orquesta,literatura
juan luis martinez holger,N/A,escritor;poeta;ensayista,literatura
